,Quarter,Tm,Detail,PHI,DET
0,1.0,Eagles,Bobby Walston 21 yard field goal,3,0
1,1.0,Lions,Jim Martin 49 yard field goal,3,3
2,2.0,Eagles,Tommy McDonald 1 yard pass from Sonny Jurgensen (Bobby Walston kick),10,3
3,3.0,Lions,Gail Cogdill 84 yard pass from Jim Ninowski (Jim Martin kick),10,10
4,3.0,Eagles,Pete Retzlaff 11 yard pass from Sonny Jurgensen (Bobby Walston kick),17,10
5,4.0,Lions,Jim Ninowski 14 yard rush (Jim Martin kick),17,17
6,4.0,Lions,Nick Pietrosante 1 yard rush (Jim Martin kick),17,24
7,4.0,Eagles,Dick Lucas 16 yard pass from Sonny Jurgensen (Bobby Walston kick),24,24
8,4.0,Eagles,Bobby Walston 10 yard field goal,27,24
