,Quarter,Tm,Detail,DET,CRD
0,2.0,Cardinals,Al Nichelini 12 yard touchdown on a lateral (Clarence Kellogg kick),0,7
1,4.0,Lions,Dutch Clark 1 yard rush (Dutch Clark kick),7,7
2,4.0,Lions,Ace Gutowsky 8 yard rush (Dutch Clark kick),14,7
