,Quarter,Tm,Detail,PIT,CLE
0,1.0,Browns,Don Cockroft 25 yard field goal,0,3
1,1.0,Browns,Milt Morin 19 yard pass from Bill Nelsen (Don Cockroft kick),0,10
2,2.0,Browns,Bo Scott 18 yard rush (Don Cockroft kick),0,17
3,2.0,Steelers,Dave Smith 22 yard pass from Terry Bradshaw (Roy Gerela kick),7,17
4,2.0,Browns,Don Cockroft 20 yard field goal,7,20
5,3.0,Steelers,Roy Gerela 33 yard field goal,10,20
6,4.0,Steelers,Ron Shanklin 11 yard pass from Terry Bradshaw (Roy Gerela kick),17,20
7,4.0,Browns,Leroy Kelly 7 yard rush (Don Cockroft kick),17,27
