,Quarter,Tm,Detail,RAM,DET
0,1.0,Lions,Terry Barr 40 yard pass from Milt Plum (Wayne Walker kick),0,7
1,1.0,Lions,Nick Pietrosante 1 yard rush,0,13
2,2.0,Rams,Carroll Dale 42 yard pass from Roman Gabriel (Bruce Gossett kick),7,13
3,2.0,Lions,Tom Watkins 37 yard pass from Milt Plum (Wayne Walker kick),7,20
4,3.0,Lions,Wayne Walker 42 yard field goal,7,23
5,3.0,Rams,Bruce Gossett 23 yard field goal,10,23
6,4.0,Lions,Nick Pietrosante 5 yard rush (Wayne Walker kick),10,30
7,4.0,Lions,Terry Barr 16 yard pass from Milt Plum (Wayne Walker kick),10,37
8,4.0,Rams,Ben Wilson 1 yard rush (Bruce Gossett kick),17,37
