,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Tom Tracy 31 yard rush (Tom Miner kick),0,7
1,1.0,Eagles,Bobby Walston 36 yard field goal,3,7
2,1.0,Steelers,Tank Younger 1 yard rush (Tom Miner kick),3,14
3,2.0,Steelers,Tom Tracy 1 yard rush (Tom Miner kick),3,21
4,3.0,Steelers,Tom Miner 26 yard field goal,3,24
