,Quarter,Tm,Detail,PHI,CRD
0,1.0,Cardinals,John David Crow 10 yard pass from John Roach (Bobby Joe Conrad kick),0,7
1,2.0,Cardinals,Jimmy Hill 77 yard blocked field goal return (Bobby Joe Conrad kick),0,14
2,2.0,Cardinals,Bobby Joe Conrad 15 yard field goal,0,17
3,3.0,Cardinals,Night Train Lane 37 yard interception return (Bobby Joe Conrad kick),0,24
4,3.0,Eagles,Billy Ray Barnes 1 yard rush (Bobby Walston kick),7,24
5,3.0,Eagles,Tommy McDonald 29 yard pass from Norm Van Brocklin (Bobby Walston kick),14,24
6,3.0,Eagles,Billy Ray Barnes 2 yard rush (Bobby Walston kick),21,24
7,4.0,Eagles,Tommy McDonald 22 yard pass from Norm Van Brocklin (Bobby Walston kick),28,24
