,Quarter,Tm,Detail,MIN,FRN
0,1.0,Yellow Jackets,George Sullivan 20 yard rush (Jim Welsh kick),0,7
1,1.0,Yellow Jackets,Bill Kellogg 6 yard rush,0,13
2,2.0,Yellow Jackets,Bill Kellogg 13 yard rush,0,19
3,2.0,Yellow Jackets,Jack Finn 10 yard rush (Jim Welsh kick),0,26
4,2.0,Yellow Jackets,Bill Kellogg 10 yard rush (Jim Welsh kick),0,33
5,3.0,Yellow Jackets,Harry Dayhoff unknown yard rush,0,39
6,4.0,Marines,Marty Norton 9 yard rush (John Simons kick),7,39
