,Quarter,Tm,Detail,IND,NYJ
0,1.0,Jets,Erik McMillan 92 yard interception return (Pat Leahy kick),0,7
1,2.0,Jets,Pat Leahy 26 yard field goal,0,10
2,3.0,Colts,Bill Brooks 55 yard pass from Jack Trudeau (Dean Biasucci kick),7,10
3,4.0,Colts,Dean Biasucci 38 yard field goal,10,10
4,4.0,Colts,Clarence Verdin 49 yard punt return (Dean Biasucci kick),17,10
