,Quarter,Tm,Detail,PHI,MIN
0,1.0,Vikings,Alfred Anderson 7 yard rush (Chuck Nelson kick),0,7
1,1.0,Vikings,Chuck Nelson 21 yard field goal,0,10
2,2.0,Eagles,Keith Byars 1 yard rush (Dale Dawson kick),7,10
3,2.0,Eagles,Mike Quick 22 yard pass from Randall Cunningham (Dale Dawson kick),14,10
4,3.0,Vikings,Wade Wilson 3 yard rush (Chuck Nelson kick),14,17
5,4.0,Vikings,Chuck Nelson 27 yard field goal,14,20
6,4.0,Eagles,Keith Jackson 13 yard pass from Randall Cunningham (Dale Dawson kick),21,20
7,4.0,Vikings,Chuck Nelson 32 yard field goal,21,23
