,Quarter,Time,Tm,Detail,TAM,WAS
0,1.0,11:29,Redskins,Clinton Portis 64 yard rush (John Hall kick),0,7
1,2.0,14:32,Redskins,John Hall 20 yard field goal,0,10
2,2.0,12:57,Buccaneers,Martin Gramatica 47 yard field goal,3,10
3,3.0,4:44,Buccaneers,Ronde Barber 9 yard defensive fumble return (Martin Gramatica kick),10,10
4,4.0,8:55,Redskins,John Hall 30 yard field goal,10,13
5,4.0,0:16,Redskins,John Hall 34 yard field goal,10,16
