,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Don Cockroft 40 yard field goal,3,0
1,2.0,Oilers,Mark Moseley 27 yard field goal,3,3
2,2.0,Oilers,Garland Boyette 19 yard defensive fumble return (Mark Moseley kick),3,10
3,2.0,Browns,Don Cockroft 35 yard field goal,6,10
4,2.0,Browns,Leroy Kelly 1 yard rush (Don Cockroft kick),13,10
5,2.0,Oilers,Charlie Joiner 20 yard pass from Woody Campbell (Mark Moseley kick),13,17
6,3.0,Browns,Bo Scott 1 yard rush (Don Cockroft kick),20,17
7,3.0,Browns,Frank Pitts 18 yard pass from Bill Nelsen (Don Cockroft kick),27,17
8,4.0,Browns,Bo Scott 4 yard rush (Don Cockroft kick),34,17
9,4.0,Oilers,Dan Pastorini 1 yard rush (Mark Moseley kick),34,24
10,4.0,Browns,Don Cockroft 39 yard field goal,37,24
