,Quarter,Tm,Detail,PHI,PHO
0,1.0,Eagles,Fred Barnett 16 yard pass from Randall Cunningham (Roger Ruzek kick),7,0
1,2.0,Eagles,Calvin Williams 27 yard pass from Randall Cunningham,13,0
2,2.0,Cardinals,Roy Green 12 yard pass from Timm Rosenbach (Al Del Greco kick),13,7
3,3.0,Eagles,Fred Barnett 3 yard pass from Randall Cunningham (Roger Ruzek kick),20,7
4,4.0,Eagles,Roger Ruzek 44 yard field goal,23,7
5,4.0,Cardinals,Ricky Proehl 38 yard pass from Timm Rosenbach (Al Del Greco kick),23,14
6,4.0,Cardinals,J.T. Smith 45 yard pass from Timm Rosenbach (Al Del Greco kick),23,21
