,Quarter,Tm,Detail,RAM,RAI
0,1.0,Rams,Wendell Tyler 1 yard rush (Mike Lansford kick),7,0
1,1.0,Rams,Wendell Tyler 18 yard pass from Vince Ferragamo (Mike Lansford kick),14,0
2,2.0,Raiders,Cliff Branch 18 yard pass from Jim Plunkett (Chris Bahr kick),14,7
3,2.0,Rams,Preston Dennard 6 yard pass from Vince Ferragamo (Mike Lansford kick),21,7
4,3.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),21,14
5,4.0,Raiders,Chris Bahr 24 yard field goal,21,17
6,4.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),21,24
7,4.0,Raiders,Greg Pruitt 6 yard pass from Jim Plunkett,21,30
8,4.0,Rams,Vince Ferragamo 1 yard rush (Mike Lansford kick),28,30
9,4.0,Rams,Mike Lansford 36 yard field goal,31,30
10,4.0,Raiders,Marcus Allen 11 yard rush (Chris Bahr kick),31,37
