,Quarter,Tm,Detail,PHI,STL
0,2.0,Eagles,Harold Carmichael 13 yard pass from Ron Jaworski,6,0
1,2.0,Eagles,Ove Johansson 32 yard field goal,9,0
2,3.0,Eagles,Charlie Smith 15 yard pass from Ron Jaworski (Ove Johansson kick),16,0
3,3.0,Cardinals,Jim Otis 25 yard rush (Jim Bakken kick),16,7
4,3.0,Cardinals,Mel Gray 69 yard pass from Jim Hart (Jim Bakken kick),16,14
5,4.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),16,21
