,Quarter,Tm,Detail,KAN,CIN
0,1.0,Bengals,Horst Muhlmann 50 yard field goal,0,3
1,2.0,Bengals,Essex Johnson 5 yard rush,0,9
2,2.0,Chiefs,Jan Stenerud 40 yard field goal,3,9
3,2.0,Chiefs,Ed Podolak 59 yard pass from Len Dawson (Jan Stenerud kick),10,9
4,2.0,Chiefs,Fred Arbanas 26 yard pass from Len Dawson (Jan Stenerud kick),17,9
5,3.0,Chiefs,Wendell Hayes 2 yard rush (Jan Stenerud kick),24,9
6,4.0,Bengals,Horst Muhlmann 42 yard field goal,24,12
7,4.0,Bengals,Bruce Coslet 7 yard pass from Virgil Carter (Horst Muhlmann kick),24,19
8,4.0,Chiefs,Jan Stenerud 24 yard field goal,27,19
