,Quarter,Time,Tm,Detail,OAK,BAL
0,1.0,10:38,Ravens,Matt Stover 25 yard field goal,0,3
1,1.0,6:41,Ravens,Matt Stover 33 yard field goal,0,6
2,1.0,3:45,Ravens,Matt Stover 37 yard field goal,0,9
3,2.0,2:59,Raiders,Sebastian Janikowski 34 yard field goal,3,9
4,2.0,0:43,Ravens,Todd Heap 1 yard pass from Steve McNair (Matt Stover kick),3,16
5,3.0,8:53,Ravens,"Safety,",3,18
6,4.0,13:21,Ravens,Matt Stover 23 yard field goal,3,21
7,4.0,9:55,Raiders,Sebastian Janikowski 51 yard field goal,6,21
8,4.0,1:51,Ravens,Mike Anderson 34 yard rush (Matt Stover kick),6,28
