,Quarter,Tm,Detail,SFO,CHI
0,1.0,49ers,Jerry Rice 23 yard pass from Joe Montana (Mike Cofer kick),7,0
1,2.0,Bears,Jim McMahon 1 yard rush (Kevin Butler kick),7,7
2,2.0,Bears,Kevin Butler 18 yard field goal,7,10
3,3.0,49ers,"Safety, Roberts and Haley tackled McMahon in end zone",9,10
