,Quarter,Tm,Detail,GNB,CRD
0,3.0,Packers,Bob Monnett 21 yard rush (Bob Monnett kick),7,0
1,3.0,Cardinals,Dick Nesbitt 2 yard rush,7,6
2,4.0,Packers,Clarke Hinkle 1 yard rush (Roger Grove kick),14,6
