,Quarter,Tm,Detail,MIN,GNB
0,1.0,Vikings,Stu Voigt 21 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,1.0,Vikings,Bobby Bryant 46 yard interception return (Fred Cox kick),14,0
2,2.0,Vikings,Chuck Foreman 50 yard rush (Fred Cox kick),21,0
3,2.0,Vikings,John Gilliam 20 yard pass from Fran Tarkenton (Fred Cox kick),28,0
4,3.0,Vikings,Fred Cox 15 yard field goal,31,0
5,4.0,Packers,Barry Smith 17 yard pass from Jim Del Gaizo (Chester Marcol kick),31,7
