,Quarter,Tm,Detail,SEA,WAS
0,1.0,Redskins,Mike Thomas 5 yard rush (Mark Moseley kick),0,7
1,2.0,Redskins,Mark Moseley 37 yard field goal,0,10
2,2.0,Redskins,Jean Fugett 12 yard pass from Billy Kilmer (Mark Moseley kick),0,17
3,3.0,Redskins,Mike Thomas 10 yard pass from Billy Kilmer (Mark Moseley kick),0,24
4,4.0,Seahawks,Don Testerman 1 yard rush (Don Bitterlich kick),7,24
5,4.0,Redskins,Frank Grant 5 yard pass from Billy Kilmer (Mark Moseley kick),7,31
