,Quarter,Tm,Detail,SFO,HOU
0,1.0,Oilers,Earl Campbell 4 yard rush (Toni Fritsch kick),0,7
1,2.0,Oilers,Toni Fritsch 38 yard field goal,0,10
2,2.0,49ers,Ray Wersching 26 yard field goal,3,10
3,2.0,49ers,Ray Wersching 19 yard field goal,6,10
4,3.0,Oilers,Ken Burrough 13 yard pass from Dan Pastorini (Toni Fritsch kick),6,17
5,3.0,49ers,Freddie Solomon 58 yard pass from Steve DeBerg,12,17
6,4.0,49ers,Paul Seal 8 yard pass from Steve DeBerg (Ray Wersching kick),19,17
7,4.0,Oilers,Toni Fritsch 19 yard field goal,19,20
