,Quarter,Tm,Detail,CHI,WAS
0,2.0,Bears,Lee Artoe 50 yard fumble return,6,0
1,2.0,Redskins,Wilbur Moore 38 yard pass from Sammy Baugh (Bob Masterson kick),6,7
2,3.0,Redskins,Andy Farkas 1 yard rush (Bob Masterson kick),6,14
