,Quarter,Time,Tm,Detail,CHI,DET
0,1.0,6:34,Lions,Matt Prater 27 yard field goal,0,3
1,1.0,1:34,Bears,Cairo Santos 35 yard field goal,3,3
2,2.0,5:37,Lions,Matt Prater 32 yard field goal,3,6
3,2.0,2:06,Bears,Cairo Santos 28 yard field goal,6,6
4,2.0,0:22,Lions,D'Andre Swift 1 yard rush (Matt Prater kick),6,13
5,3.0,10:42,Lions,T.J. Hockenson 4 yard pass from Matthew Stafford (Matt Prater kick),6,20
6,3.0,3:24,Lions,Matt Prater 44 yard field goal,6,23
7,4.0,13:43,Bears,Jimmy Graham 2 yard pass from Mitchell Trubisky (Cairo Santos kick),13,23
8,4.0,3:03,Bears,Javon Wims 1 yard pass from Mitchell Trubisky (Cairo Santos kick),20,23
9,4.0,2:00,Bears,Anthony Miller 27 yard pass from Mitchell Trubisky (Cairo Santos kick),27,23
