,Quarter,Tm,Detail,CIN,OAK
0,1.0,Raiders,George Blanda 22 yard field goal,0,3
1,1.0,Raiders,Raymond Chester 19 yard pass from Daryle Lamonica (George Blanda kick),0,10
2,2.0,Raiders,Marv Hubbard 7 yard rush (George Blanda kick),0,17
3,3.0,Bengals,Essex Johnson 41 yard pass from Ken Anderson (Horst Muhlmann kick),7,17
4,3.0,Bengals,Horst Muhlmann 36 yard field goal,10,17
5,3.0,Bengals,Ken Anderson 5 yard rush (Horst Muhlmann kick),17,17
6,4.0,Raiders,Marv Hubbard 17 yard pass from George Blanda (George Blanda kick),17,24
7,4.0,Bengals,Speedy Thomas 4 yard pass from Ken Anderson (Horst Muhlmann kick),24,24
8,4.0,Bengals,Horst Muhlmann 11 yard field goal,27,24
9,4.0,Raiders,Marv Hubbard 1 yard rush (George Blanda kick),27,31
