,Quarter,Tm,Detail,CRD,WAS
0,1.0,Redskins,Wilbur Moore 57 yard rush (Joe Aguirre kick),0,7
1,1.0,Redskins,Frank Akins 5 yard rush (Joe Aguirre kick),0,14
2,2.0,Redskins,Bob Seymour 1 yard rush (Joe Aguirre kick),0,21
3,2.0,Cardinals,Jim Poole 29 yard pass from Paul Christman (Joe Kuharich kick),7,21
4,3.0,Cardinals,Frank Seno 47 yard rush (Joe Kuharich kick),14,21
5,4.0,Cardinals,Leo Cantor 3 yard rush (Joe Kuharich kick),21,21
6,4.0,Redskins,Joe Aguirre 19 yard field goal,21,24
