,Quarter,Tm,Detail,GNB,TAM
0,1.0,Buccaneers,Donald Igwebuike 33 yard field goal,0,3
1,1.0,Packers,Phil Epps 30 yard rush (Al Del Greco kick),7,3
2,2.0,Buccaneers,James Wilder 1 yard rush (Donald Igwebuike kick),7,10
3,2.0,Packers,Al Del Greco 24 yard field goal,10,10
4,3.0,Packers,Al Del Greco 40 yard field goal,13,10
5,4.0,Buccaneers,Jimmie Giles 3 yard pass from Steve Young (Donald Igwebuike kick),13,17
6,4.0,Packers,Jessie Clark 6 yard rush (Al Del Greco kick),20,17
