,Quarter,Tm,Detail,DAL,STL
0,2.0,Cowboys,Billy Joe DuPree 34 yard pass from Roger Staubach (Efren Herrera kick),7,0
1,2.0,Cardinals,Mel Gray 54 yard pass from Jim Hart (Jim Bakken kick),7,7
2,2.0,Cowboys,Efren Herrera 35 yard field goal,10,7
3,3.0,Cardinals,Terry Metcalf 4 yard pass from Jim Hart (Jim Bakken kick),10,14
4,4.0,Cardinals,Mel Gray 17 yard pass from Jim Hart (Jim Bakken kick),10,21
5,4.0,Cowboys,Drew Pearson 11 yard pass from Roger Staubach (Efren Herrera kick),17,21
