,Quarter,Tm,Detail,NWE,DAL
0,1.0,Cowboys,Duane Thomas 56 yard rush (Mike Clark kick),0,7
1,1.0,Cowboys,Mike Clark 16 yard field goal,0,10
2,1.0,Patriots,Jim Nance 1 yard rush (Charlie Gogolak kick),7,10
3,2.0,Cowboys,Roger Staubach 2 yard rush (Mike Clark kick),7,17
4,2.0,Cowboys,Mike Clark 17 yard field goal,7,20
5,2.0,Cowboys,Bob Hayes 35 yard pass from Roger Staubach (Mike Clark kick),7,27
6,2.0,Cowboys,Bob Hayes 28 yard pass from Roger Staubach (Mike Clark kick),7,34
7,4.0,Cowboys,Mike Clark 12 yard field goal,7,37
8,4.0,Patriots,Randy Vataha 33 yard pass from Jim Plunkett (Charlie Gogolak kick),14,37
9,4.0,Cowboys,Joe Williams 2 yard rush (Mike Clark kick),14,44
10,4.0,Patriots,Tom Beer 31 yard pass from Jim Plunkett (Charlie Gogolak kick),21,44
