,Quarter,Time,Tm,Detail,PHI,CHI
0,1.0,9:32,Eagles,Jake Elliott 43 yard field goal,3,0
1,2.0,9:38,Bears,Cody Parkey 36 yard field goal,3,3
2,2.0,0:00,Bears,Cody Parkey 29 yard field goal,3,6
3,3.0,5:20,Eagles,Dallas Goedert 10 yard pass from Nick Foles (Jake Elliott kick),10,6
4,4.0,14:13,Bears,Cody Parkey 34 yard field goal,10,9
5,4.0,9:04,Bears,Allen Robinson 22 yard pass from Mitchell Trubisky (pass failed),10,15
6,4.0,0:56,Eagles,Golden Tate 2 yard pass from Nick Foles (run failed),16,15
