,Quarter,Tm,Detail,BAL,GNB
0,1,Colts,Don Shinnick 25 yard defensive fumble return (Lou Michaels kick),7,0
1,2,Colts,Lou Michaels 15 yard field goal,10,0
2,3,Packers,Paul Hornung 1 yard rush (Don Chandler kick),10,7
3,4,Packers,Don Chandler 22 yard field goal,10,10
4,OT,Packers,Don Chandler 25 yard field goal,10,13
