,Quarter,Time,Tm,Detail,BAL,CIN
0,2.0,14:52,Bengals,Mike Nugent 36 yard field goal,0,3
1,2.0,9:46,Bengals,Mike Nugent 30 yard field goal,0,6
2,3.0,11:46,Ravens,Derrick Mason 31 yard pass from Joe Flacco (Billy Cundiff kick),7,6
3,3.0,0:14,Bengals,Mike Nugent 46 yard field goal,7,9
4,4.0,5:46,Ravens,Billy Cundiff 38 yard field goal,10,9
5,4.0,4:34,Bengals,Mike Nugent 38 yard field goal,10,12
6,4.0,2:48,Bengals,Mike Nugent 25 yard field goal,10,15
