,Quarter,Tm,Detail,TAM,DAL
0,1,Cowboys,Jay Novacek 12 yard pass from Troy Aikman (Ken Willis kick),0,7
1,2,Buccaneers,Steve Christie 33 yard field goal,3,7
2,3,Buccaneers,Gary Anderson 58 yard pass from Vinny Testaverde (Steve Christie kick),10,7
3,4,Cowboys,Emmitt Smith 14 yard rush (Ken Willis kick),10,14
