,Quarter,Tm,Detail,ATL,NYG
0,1,Giants,Doug Kotar 53 yard rush (Pete Gogolak kick),0,7
1,2,Falcons,Jim Mitchell 15 yard pass from Bob Lee (Nick Mike-Mayer kick),7,7
2,3,Falcons,Ray Brown 59 yard interception return (Nick Mike-Mayer kick),14,7
