,Quarter,Time,Tm,Detail,NWE,BUF
0,1.0,11:05,Bills,Dan Carpenter 23 yard field goal,0,3
1,1.0,4:35,Patriots,Danny Amendola 9 yard pass from Tom Brady (Stephen Gostkowski kick),7,3
2,1.0,1:33,Patriots,Chris Hogan 53 yard pass from Tom Brady (Stephen Gostkowski kick),14,3
3,2.0,6:26,Bills,Mike Gillislee 3 yard rush (Dan Carpenter kick),14,10
4,2.0,4:18,Patriots,Rob Gronkowski 53 yard pass from Tom Brady (Stephen Gostkowski kick),21,10
5,2.0,0:00,Patriots,Stephen Gostkowski 51 yard field goal,24,10
6,3.0,14:00,Patriots,Julian Edelman 12 yard pass from Tom Brady (Stephen Gostkowski kick),31,10
7,3.0,7:57,Bills,Tyrod Taylor 26 yard rush (Dan Carpenter kick),31,17
8,3.0,3:05,Patriots,LeGarrette Blount 1 yard rush (Stephen Gostkowski kick),38,17
9,4.0,7:06,Patriots,Stephen Gostkowski 32 yard field goal,41,17
10,4.0,0:30,Bills,Jonathan Williams 1 yard rush (Nick O'Leary pass from EJ Manuel),41,25
