,Quarter,Tm,Detail,NWE,IND
0,1.0,Patriots,Tony Franklin 38 yard field goal,3,0
1,2.0,Patriots,Tony Franklin 31 yard field goal,6,0
2,2.0,Colts,Matt Bouza 25 yard pass from Jack Trudeau (Dean Biasucci kick),6,7
3,2.0,Colts,Dean Biasucci 48 yard field goal,6,10
4,3.0,Colts,Dean Biasucci 48 yard field goal,6,13
5,3.0,Colts,Dean Biasucci 24 yard field goal,6,16
6,3.0,Colts,Donnell Thompson 28 yard defensive fumble return (Dean Biasucci kick),6,23
7,3.0,Patriots,Stanley Morgan 27 yard pass from Tony Eason (Tony Franklin kick),13,23
8,4.0,Patriots,Tony Franklin 49 yard field goal,16,23
9,4.0,Colts,Albert Bentley 12 yard rush (Dean Biasucci kick),16,30
