,Quarter,Tm,Detail,DET,WAS
0,1.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),0,7
1,1.0,Redskins,Jimmie Johnson 4 yard pass from Mark Rypien (Chip Lohmiller kick),0,14
2,1.0,Redskins,Brian Mitchell 69 yard punt return (Chip Lohmiller kick),0,21
3,2.0,Redskins,Ricky Sanders 18 yard pass from Earnest Byner (Chip Lohmiller kick),0,28
4,2.0,Redskins,Earnest Byner 6 yard rush (Chip Lohmiller kick),0,35
5,3.0,Redskins,Gary Clark 38 yard pass from Mark Rypien (Chip Lohmiller kick),0,42
6,4.0,Redskins,Chip Lohmiller 26 yard field goal,0,45
