,Quarter,Time,Tm,Detail,NYG,BUF
0,1.0,9:16,Bills,Steve Christie 50 yard field goal,0,3
1,1.0,4:25,Giants,Cary Blanchard 42 yard field goal,3,3
2,2.0,12:09,Giants,Cary Blanchard 21 yard field goal,6,3
3,2.0,1:51,Bills,Thurman Thomas 23 yard pass from Doug Flutie (Steve Christie kick),6,10
4,2.0,0:03,Giants,Amani Toomer 14 yard pass from Kerry Collins (Cary Blanchard kick),13,10
5,3.0,4:28,Giants,Cary Blanchard 21 yard field goal,16,10
6,4.0,9:34,Bills,Jonathan Linton 2 yard rush (Steve Christie kick),16,17
7,4.0,0:40,Giants,Cary Blanchard 48 yard field goal,19,17
