,Quarter,Time,Tm,Detail,MIA,BAL
0,1.0,8:19,Ravens,Jeremy Maclin 34 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,2.0,13:16,Ravens,Justin Tucker 55 yard field goal,0,10
2,2.0,8:02,Ravens,Justin Tucker 48 yard field goal,0,13
3,2.0,1:56,Ravens,Ben Watson 2 yard pass from Ryan Mallett (Justin Tucker kick),0,20
4,4.0,14:15,Ravens,C.J. Mosley 63 yard interception return (pass failed),0,26
5,4.0,6:39,Ravens,Chris Moore fumble recovery in end zone (Justin Tucker kick),0,33
6,4.0,4:28,Ravens,Jimmy Smith 50 yard interception return (Justin Tucker kick),0,40
