,Quarter,Tm,Detail,NYJ,TAM
0,2.0,Jets,Pat Leahy 21 yard field goal,3,0
1,2.0,Buccaneers,Reggie Cobb 1 yard rush (Steve Christie kick),3,7
2,2.0,Jets,Pat Leahy 32 yard field goal,6,7
3,2.0,Jets,Blair Thomas 5 yard rush (Pat Leahy kick),13,7
4,3.0,Jets,Pat Leahy 25 yard field goal,16,7
5,4.0,Buccaneers,Bruce Hill 7 yard pass from Vinny Testaverde (Steve Christie kick),16,14
