,Quarter,Tm,Detail,MIL,RAC
0,1.0,Badgers,Dinger Doane 3 yard rush (Ben Winkelman kick),7,0
1,2.0,Badgers,Ben Winkelman unknown yard field goal,10,0
2,4.0,Badgers,Ben Winkelman 19 yard field goal,13,0
3,4.0,Badgers,Ben Winkelman 22 yard field goal,16,0
