,Quarter,Tm,Detail,DAL,STL
0,1.0,Cowboys,Dick Bielski 29 yard field goal,3,0
1,1.0,Cowboys,Dick Bielski 29 yard field goal,6,0
2,2.0,Cowboys,Don Perkins 2 yard rush (Dick Bielski kick),13,0
3,2.0,Cardinals,John David Crow 10 yard pass from Sam Etcheverry (Gerry Perry kick),13,7
4,3.0,Cardinals,Gerry Perry 16 yard field goal,13,10
5,3.0,Cardinals,John David Crow 3 yard rush (Gerry Perry kick),13,17
6,4.0,Cardinals,Sonny Randle 27 yard pass from Sam Etcheverry (Gerry Perry kick),13,24
7,4.0,Cardinals,Sonny Randle 17 yard pass from Prentice Gautt (Gerry Perry kick),13,31
