,Quarter,Tm,Detail,BAL,CHI
0,1.0,Bears,Rick Casares 1 yard rush (John Aveni kick),0,7
1,1.0,Colts,Steve Myhra 35 yard field goal,3,7
2,1.0,Colts,Alan Ameche 1 yard rush (Steve Myhra kick),10,7
3,2.0,Bears,Rick Casares 1 yard rush (John Aveni kick),10,14
4,2.0,Colts,Lenny Moore 36 yard pass from Johnny Unitas (Steve Myhra kick),17,14
5,3.0,Bears,John Aveni 46 yard field goal,17,17
6,4.0,Bears,John Aveni 37 yard field goal,17,20
7,4.0,Colts,Lenny Moore 39 yard pass from Johnny Unitas (Steve Myhra kick),24,20
