,Quarter,Tm,Detail,BAL,CLE
0,1.0,Browns,Ozzie Newsome 1 yard pass from Brian Sipe (Matt Bahr kick),0,7
1,2.0,Browns,Greg Pruitt 22 yard pass from Brian Sipe (Matt Bahr kick),0,14
2,2.0,Browns,Dave Logan 40 yard pass from Brian Sipe (Matt Bahr kick),0,21
3,2.0,Colts,Curtis Dickey 3 yard pass from Bert Jones (Mike Wood kick),7,21
4,2.0,Browns,Charles White 2 yard rush (Matt Bahr kick),7,28
5,3.0,Colts,Greg Landry 11 yard touchdown on a lateral (Mike Wood kick),14,28
6,3.0,Colts,Ray Butler 36 yard pass from Bert Jones (Mike Wood kick),21,28
7,3.0,Browns,Ricky Feacher 28 yard pass from Brian Sipe (Matt Bahr kick),21,35
8,4.0,Colts,Ray Butler 5 yard pass from Bert Jones (Mike Wood kick),28,35
9,4.0,Browns,Mike Pruitt 16 yard rush (Matt Bahr kick),28,42
