,Quarter,Time,Tm,Detail,SEA,STL
0,1.0,7:54,Seahawks,Justin Forsett 3 yard rush (Olindo Mare kick),7,0
1,2.0,13:34,Rams,Donnie Avery 1 yard pass from Kyle Boller (Josh Brown kick),7,7
2,2.0,1:38,Seahawks,Josh Wilson 65 yard interception return (Olindo Mare kick),14,7
3,2.0,0:00,Rams,Josh Brown 55 yard field goal,14,10
4,3.0,3:37,Seahawks,Olindo Mare 29 yard field goal,17,10
5,4.0,13:57,Seahawks,Justin Forsett 2 yard rush (Olindo Mare kick),24,10
6,4.0,9:24,Seahawks,Olindo Mare 38 yard field goal,27,10
7,4.0,0:44,Rams,Steven Jackson 1 yard rush (Josh Brown kick),27,17
