,Quarter,Tm,Detail,MIN,SFO
0,1.0,49ers,J.D. Smith 6 yard rush (Tommy Davis kick),0,7
1,1.0,49ers,R.C. Owens 40 yard pass from John Brodie (Tommy Davis kick),0,14
2,2.0,49ers,C.R. Roberts 1 yard rush (Tommy Davis kick),0,21
3,2.0,Vikings,Tommy Mason 9 yard rush (Mike Mercer kick),7,21
4,2.0,49ers,Tommy Davis 42 yard field goal,7,24
5,2.0,Vikings,Jerry Reichow 17 yard pass from Fran Tarkenton (Mike Mercer kick),14,24
6,3.0,49ers,J.D. Smith 15 yard rush (Tommy Davis kick),14,31
7,3.0,Vikings,Gordie Smith 71 yard pass from Fran Tarkenton (Mike Mercer kick),21,31
8,4.0,49ers,John Brodie 16 yard rush (Tommy Davis kick),21,38
9,4.0,Vikings,Fran Tarkenton 1 yard rush (Mike Mercer kick),28,38
