,Quarter,Time,Tm,Detail,CIN,OAK
0,1.0,,Raiders,Tim Brown 19 yard pass from Donald Hollas (Greg Davis kick),0,7
1,2.0,,Bengals,Corey Dillon 17 yard pass from Neil O'Donnell (Doug Pelfrey kick),7,7
2,2.0,,Raiders,James Jett 39 yard pass from Donald Hollas (Greg Davis kick),7,14
3,2.0,,Raiders,Lance Johnstone 40 yard defensive fumble return (Greg Davis kick),7,21
4,3.0,,Bengals,Doug Pelfrey 51 yard field goal,10,21
5,3.0,,Raiders,Greg Davis 22 yard field goal,10,24
6,4.0,,Raiders,Greg Davis 48 yard field goal,10,27
