,Quarter,Tm,Detail,BUF,WAS
0,1.0,Redskins,Art Monk 11 yard pass from Joe Theismann (Mark Moseley kick),0,7
1,1.0,Redskins,Mark Moseley 38 yard field goal,0,10
2,1.0,Redskins,John Riggins 2 yard rush (Mark Moseley kick),0,17
3,2.0,Redskins,Charlie Brown 18 yard pass from Joe Theismann (Mark Moseley kick),0,24
4,2.0,Bills,Byron Franklin 8 yard pass from Joe Ferguson (Chuck Nelson kick),7,24
5,2.0,Redskins,Mark Moseley 51 yard field goal,7,27
6,3.0,Bills,Preston Dennard 36 yard pass from Joe Ferguson (Chuck Nelson kick),14,27
7,3.0,Redskins,Vernon Dean 11 yard interception return (Mark Moseley kick),14,34
8,4.0,Redskins,Otis Wonsley 3 yard rush (Mark Moseley kick),14,41
