,Quarter,Tm,Detail,HOU,CLE
0,2.0,Browns,Calvin Hill 3 yard pass from Brian Sipe (Don Cockroft kick),0,7
1,2.0,Oilers,Toni Fritsch 25 yard field goal,3,7
2,3.0,Oilers,Tim Wilson 2 yard rush (Toni Fritsch kick),10,7
3,4.0,Oilers,Toni Fritsch 29 yard field goal,13,7
4,4.0,Oilers,Toni Fritsch 17 yard field goal,16,7
