,Quarter,Tm,Detail,MIA,OAK
0,1.0,Raiders,Dave Grayson 76 yard interception return (George Blanda kick),0,7
1,1.0,Dolphins,Jim Kiick 1 yard rush (Karl Kremser kick),7,7
2,2.0,Raiders,George Blanda 37 yard field goal,7,10
3,2.0,Raiders,Fred Biletnikoff 13 yard pass from Daryle Lamonica (George Blanda kick),7,17
4,2.0,Dolphins,Jim Kiick 15 yard rush (Karl Kremser kick),14,17
5,2.0,Dolphins,Karl Kremser 30 yard field goal,17,17
6,4.0,Raiders,George Blanda 46 yard field goal,17,20
