,Quarter,Time,Tm,Detail,CLE,IND
0,1.0,0:24,Colts,Jacoby Brissett 5 yard rush (Adam Vinatieri kick),0,7
1,2.0,13:22,Browns,Duke Johnson 19 yard rush (Zane Gonzalez kick),7,7
2,2.0,10:06,Colts,Jacoby Brissett 7 yard rush (Adam Vinatieri kick),7,14
3,2.0,5:14,Colts,T.Y. Hilton 61 yard pass from Jacoby Brissett (Adam Vinatieri kick),7,21
4,2.0,2:41,Colts,Frank Gore 4 yard rush (Adam Vinatieri kick),7,28
5,2.0,0:27,Browns,David Njoku 1 yard pass from DeShone Kizer (Zane Gonzalez kick),14,28
6,4.0,10:18,Colts,Adam Vinatieri 33 yard field goal,14,31
7,4.0,6:56,Browns,Kenny Britt 11 yard pass from DeShone Kizer (Zane Gonzalez kick),21,31
8,4.0,2:04,Browns,DeShone Kizer 1 yard rush (Zane Gonzalez kick),28,31
