,Quarter,Time,Tm,Detail,PHI,SDG
0,1.0,,Chargers,John Carney 23 yard field goal,0,3
1,2.0,,Eagles,Chris Boniol 35 yard field goal,3,3
2,3.0,,Chargers,Natrone Means 14 yard rush (John Carney kick),3,10
3,4.0,,Eagles,Charlie Garner 12 yard rush (Chris Boniol kick),10,10
4,4.0,,Chargers,John Carney 26 yard field goal,10,13
