,Quarter,Tm,Detail,NYJ,RAM
0,1.0,Jets,Jason Staurovsky 19 yard field goal,3,0
1,2.0,Jets,Brad Baxter 1 yard rush (Jason Staurovsky kick),10,0
2,2.0,Rams,Tony Zendejas 49 yard field goal,10,3
3,2.0,Rams,"Safety, Greene tackled Nagle in end zone",10,5
4,3.0,Rams,Flipper Anderson 31 yard pass from Jim Everett (Tony Zendejas kick),10,12
5,4.0,Rams,Tony Zendejas 22 yard field goal,10,15
6,4.0,Rams,Tony Zendejas 20 yard field goal,10,18
