,Quarter,Tm,Detail,CRD,FRN
0,2.0,Yellow Jackets,Hust Stockton unknown yard rush,0,6
1,3.0,Yellow Jackets,Chief Elkins 98 yard kickoff return (Chief Elkins kick),0,13
2,3.0,Yellow Jackets,Carl Waite unknown yard pass from Johnny Roepke,0,19
