,Quarter,Time,Tm,Detail,IND,JAX
0,1.0,2:38,Colts,Qadry Ismail 6 yard pass from Peyton Manning (Mike Vanderjagt kick),7,0
1,2.0,7:34,Jaguars,Pete Mitchell 8 yard pass from Mark Brunell (Hayden Epstein kick),7,7
2,2.0,0:33,Colts,Marcus Washington 40 yard interception return (Mike Vanderjagt kick),14,7
3,3.0,7:39,Jaguars,Hayden Epstein 27 yard field goal,14,10
4,3.0,5:20,Jaguars,Patrick Johnson 18 yard pass from Mark Brunell (Hayden Epstein kick),14,17
5,3.0,2:57,Colts,Qadry Ismail 12 yard pass from Peyton Manning (Mike Vanderjagt kick),21,17
6,4.0,11:26,Colts,Marvin Harrison 3 yard pass from Peyton Manning (Mike Vanderjagt kick),28,17
7,4.0,4:11,Jaguars,Fred Taylor 6 yard rush (Jimmy Smith pass from Mark Brunell),28,25
