,Quarter,Time,Tm,Detail,DAL,JAX
0,1.0,8:06,Cowboys,Julius Jones 23 yard rush (Shaun Suisham kick),7,0
1,1.0,5:35,Cowboys,Shaun Suisham 32 yard field goal,10,0
2,2.0,8:48,Jaguars,Josh Scobee 35 yard field goal,10,3
3,2.0,0:07,Jaguars,Reggie Williams 6 yard pass from Byron Leftwich (Josh Scobee kick),10,10
4,4.0,11:27,Jaguars,Byron Leftwich 3 yard rush (Josh Scobee kick),10,17
5,4.0,3:13,Jaguars,Fred Taylor 5 yard rush (Josh Scobee kick),10,24
6,4.0,1:54,Cowboys,Terrell Owens 21 yard pass from Drew Bledsoe (Shaun Suisham kick),17,24
