,Quarter,Tm,Detail,SDG,NWE
0,1.0,Chargers,James Brooks 1 yard rush (Rolf Benirschke kick),7,0
1,1.0,Patriots,Fred Steinfort 35 yard field goal,7,3
2,2.0,Chargers,Bobby Duckworth 40 yard pass from Dan Fouts (Rolf Benirschke kick),14,3
3,2.0,Patriots,Tony Collins 7 yard rush (Fred Steinfort kick),14,10
4,2.0,Chargers,James Brooks 1 yard rush (Rolf Benirschke kick),21,10
5,3.0,Patriots,Fred Steinfort 20 yard field goal,21,13
6,4.0,Patriots,Fred Steinfort 32 yard field goal,21,16
7,4.0,Patriots,Mark van Eeghen 1 yard rush (Fred Steinfort kick),21,23
8,4.0,Patriots,Tony Collins 10 yard rush (Fred Steinfort kick),21,30
9,4.0,Patriots,Steve Grogan 1 yard rush (Fred Steinfort kick),21,37
