,Quarter,Tm,Detail,BUF,CIN
0,1.0,Bills,Greg Bell 5 yard rush (Chuck Nelson kick),7,0
1,1.0,Bengals,Cris Collinsworth 12 yard pass from Ken Anderson (Jim Breech kick),7,7
2,2.0,Bengals,Larry Kinnebrew 1 yard rush (Jim Breech kick),7,14
3,2.0,Bengals,Rodney Holman 11 yard pass from Ken Anderson (Jim Breech kick),7,21
4,2.0,Bengals,Steve Kreider 11 yard pass from Ken Anderson (Jim Breech kick),7,28
5,3.0,Bengals,Jim Breech 36 yard field goal,7,31
6,3.0,Bills,Byron Franklin 16 yard pass from Joe Dufek (Chuck Nelson kick),14,31
7,4.0,Bengals,Stanford Jennings 20 yard rush (Jim Breech kick),14,38
8,4.0,Bengals,John Simmons 43 yard interception return (Jim Breech kick),14,45
9,4.0,Bengals,James Griffin 57 yard interception return (Jim Breech kick),14,52
10,4.0,Bills,Greg Bell 1 yard rush (Chuck Nelson kick),21,52
