,Quarter,Tm,Detail,OAK,GNB
0,1.0,Packers,Don Chandler 39 yard field goal,0,3
1,2.0,Packers,Don Chandler 20 yard field goal,0,6
2,2.0,Packers,Boyd Dowler 62 yard pass from Bart Starr (Don Chandler kick),0,13
3,2.0,Raiders,Bill Miller 23 yard pass from Daryle Lamonica (George Blanda kick),7,13
4,2.0,Packers,Don Chandler 43 yard field goal,7,16
5,3.0,Packers,Donny Anderson 2 yard rush (Don Chandler kick),7,23
6,3.0,Packers,Don Chandler 31 yard field goal,7,26
7,4.0,Packers,Herb Adderley 60 yard interception return (Don Chandler kick),7,33
8,4.0,Raiders,Bill Miller 23 yard pass from Daryle Lamonica (George Blanda kick),14,33
