,Quarter,Tm,Detail,PIT,ATL
0,1.0,Falcons,Art Malone 5 yard pass from Randy Johnson (Ken Vinyard kick),0,7
1,1.0,Steelers,John Fuqua 10 yard rush,6,7
2,2.0,Steelers,Allan Watson 21 yard field goal,9,7
3,2.0,Falcons,Ken Vinyard 35 yard field goal,9,10
4,2.0,Steelers,John Fuqua 1 yard rush (Allan Watson kick),16,10
5,3.0,Falcons,Ken Vinyard 17 yard field goal,16,13
6,3.0,Falcons,Jim Mitchell 12 yard rush (Ken Vinyard kick),16,20
7,4.0,Falcons,Paul Flatley 18 yard pass from Randy Johnson (Ken Vinyard kick),16,27
