,Quarter,Time,Tm,Detail,ARI,DET
0,1.0,1:37,Cardinals,Larry Fitzgerald 1 yard pass from Kurt Warner (Mike Nugent kick),7,0
1,2.0,13:01,Cardinals,Mike Nugent 48 yard field goal,10,0
2,2.0,3:51,Cardinals,Tim Hightower 1 yard rush (Mike Nugent kick),17,0
3,3.0,7:29,Lions,Louis Delmas 100 yard interception return (Jason Hanson kick),17,7
4,3.0,5:10,Lions,Maurice Morris 64 yard rush (Jason Hanson kick),17,14
5,3.0,2:04,Lions,Jason Hanson 37 yard field goal,17,17
6,4.0,13:40,Cardinals,Beanie Wells 18 yard rush (Mike Nugent kick),24,17
7,4.0,3:48,Lions,Drew Stanton 1 yard rush (Jason Hanson kick),24,24
8,4.0,1:54,Cardinals,Anquan Boldin 5 yard rush (Mike Nugent kick),31,24
