,Quarter,Time,Tm,Detail,DAL,WAS
0,1.0,,Cowboys,Richie Cunningham 19 yard field goal,3,0
1,1.0,,Redskins,Stephen Davis 2 yard rush (Scott Blanton kick),3,7
2,2.0,,Redskins,James Jenkins 13 yard pass from Gus Frerotte (Scott Blanton kick),3,14
3,3.0,,Redskins,Stephen Davis 4 yard rush (Scott Blanton kick),3,21
4,3.0,,Cowboys,Dexter Coakley 15 yard defensive fumble return (pass failed),9,21
5,4.0,,Cowboys,Michael Irvin 14 yard pass from Troy Aikman (Richie Cunningham kick),16,21
