,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Gerry Perry 22 yard field goal,0,3
1,1.0,Packers,Paul Hornung 11 yard rush (Paul Hornung kick),7,3
2,1.0,Packers,Paul Hornung 6 yard rush (Paul Hornung kick),14,3
3,1.0,Packers,Paul Hornung 39 yard field goal,17,3
4,2.0,Packers,Jim Taylor 1 yard rush (Paul Hornung kick),24,3
5,2.0,Lions,Howard Cassady 5 yard rush (Gerry Perry kick),24,10
6,2.0,Lions,Jerry Reichow 27 yard pass from Earl Morrall (Gerry Perry kick),24,17
