,Quarter,Tm,Detail,BUF,SEA
0,1.0,Bills,Carson Long 25 yard field goal,3,0
1,1.0,Seahawks,Steve Largent 31 yard pass from Jim Zorn (John Leypoldt kick),3,7
2,1.0,Seahawks,Duke Fergerson 37 yard pass from Jim Zorn (John Leypoldt kick),3,14
3,2.0,Seahawks,Steve Largent 48 yard pass from Jim Zorn (John Leypoldt kick),3,21
4,2.0,Seahawks,Jim Zorn 4 yard rush (John Leypoldt kick),3,28
5,2.0,Seahawks,Sherman Smith 13 yard rush (John Leypoldt kick),3,35
6,2.0,Seahawks,Don Testerman 10 yard pass from Jim Zorn (John Leypoldt kick),3,42
7,3.0,Seahawks,David Sims 17 yard rush (John Leypoldt kick),3,49
8,3.0,Bills,John Kimbrough 38 yard pass from Joe Ferguson (Carson Long kick),10,49
9,4.0,Seahawks,Al Hunter 1 yard rush (John Leypoldt kick),10,56
10,4.0,Bills,Joe Ferguson 4 yard rush (Carson Long kick),17,56
