,Quarter,Tm,Detail,CLE,NYG
0,1.0,Giants,Alex Webster 1 yard rush (Ben Agajanian kick),0,7
1,2.0,Giants,Bobby Epps 14 yard rush (Ben Agajanian kick),0,14
2,2.0,Browns,Pete Brewster 16 yard pass from Otto Graham (Lou Groza kick),7,14
3,3.0,Browns,Ray Renfro 42 yard pass from Otto Graham (Lou Groza kick),14,14
4,3.0,Browns,Pete Brewster 41 yard pass from Otto Graham (Lou Groza kick),21,14
5,3.0,Giants,Bob Schnelker fumble recovery in end zone (Ben Agajanian kick),21,21
6,4.0,Giants,Kyle Rote 16 yard pass from Charlie Conerly (Ben Agajanian kick),21,28
7,4.0,Browns,Ed Modzelewski 2 yard rush (Lou Groza kick),28,28
8,4.0,Browns,Chuck Noll 14 yard interception return (Lou Groza kick),35,28
9,4.0,Giants,Frank Gifford 23 yard pass from Charlie Conerly (Ben Agajanian kick),35,35
